Year,Disease,Neighborhood,Case Count,"Crude Rate per 100,000 Population","Age-Adjusted Rate per 100,000 Population"
2004,Acute hepatitis B,101 Kingsbridge - Riverdale,1,1.1,1
2004,Acute hepatitis B,102 Northeast Bronx,2,1.1,1
2004,Acute hepatitis B,103 Fordham - Bronx Park,3,1.2,1.5
2004,Acute hepatitis B,104 Pelham - Throgs Neck,9,3.1,3.1
2004,Acute hepatitis B,105 Crotona - Tremont,3,1.5,1.6
2004,Acute hepatitis B,106 High Bridge - Morrisania,3,1.5,1.5
2004,Acute hepatitis B,107 Hunts Point - Mott Haven,4,3.1,3.2
2004,Acute hepatitis B,201 Greenpoint,2,1.6,1.4
2004,Acute hepatitis B,202 Downtown - Heights - Slope,6,2.8,2.6
2004,Acute hepatitis B,203 Bedford Stuyvesant - Crown Heights,8,2.5,2.4
2004,Acute hepatitis B,204 East New York,5,2.8,2.9
2004,Acute hepatitis B,205 Sunset Park,3,2.4,2.3
2004,Acute hepatitis B,206 Borough Park,3,0.9,1
2004,Acute hepatitis B,207 East Flatbush - Flatbush,5,1.6,1.7
2004,Acute hepatitis B,208 Canarsie - Flatlands,2,1,1
2004,Acute hepatitis B,209 Bensonhurst - Bay Ridge,2,1,0.9
2004,Acute hepatitis B,210 Coney Island - Sheepshead Bay,8,2.8,3.1
2004,Acute hepatitis B,211 Williamsburg - Bushwick,7,3.5,3.5
2004,Acute hepatitis B,301 Washington Heights - Inwood,5,1.9,1.8
2004,Acute hepatitis B,302 Central Harlem - Morningside Heights,8,5.1,4.7
2004,Acute hepatitis B,303 East Harlem,7,6.4,6.2
2004,Acute hepatitis B,304 Upper West Side,6,2.7,2.2
2004,Acute hepatitis B,305 Upper East Side,4,1.8,1.5
2004,Acute hepatitis B,306 Chelsea - Clinton,7,5.2,3.3
2004,Acute hepatitis B,307 Gramercy Park - Murray Hill,7,5.4,4.1
2004,Acute hepatitis B,308 Greenwich Village - Soho,0,0,0
2004,Acute hepatitis B,309 Union Square - Lower East Side,5,2.5,2.1
2004,Acute hepatitis B,310 Lower Manhattan,0,0,0
2004,Acute hepatitis B,401 Long Island City - Astoria,1,0.5,0.3
2004,Acute hepatitis B,402 West Queens,8,1.7,1.4
2004,Acute hepatitis B,403 Flushing - Clearview,4,1.6,1.5
2004,Acute hepatitis B,404 Bayside - Littleneck,2,2.3,2.1
2004,Acute hepatitis B,405 Ridgewood - Forest Hills,3,1.2,1.1
2004,Acute hepatitis B,406 Fresh Meadows,2,2.1,2.1
2004,Acute hepatitis B,407 Southwest Queens,3,1.1,1.1
2004,Acute hepatitis B,408 Jamaica,9,3.2,3.1
2004,Acute hepatitis B,409 Southeast Queens,2,1,1.1
2004,Acute hepatitis B,410 Rockaway,1,0.9,0.9
2004,Acute hepatitis B,501 Port Richmond,0,0,0
2004,Acute hepatitis B,502 Stapleton - St. George,1,0.8,0.9
2004,Acute hepatitis B,503 Willowbrook,0,0,0
2004,Acute hepatitis B,504 South Beach - Tottenville,2,1.1,0.9
2005,Acute hepatitis B,101 Kingsbridge - Riverdale,0,0,0
2005,Acute hepatitis B,102 Northeast Bronx,1,0.5,0.5
2005,Acute hepatitis B,103 Fordham - Bronx Park,3,1.2,1.2
2005,Acute hepatitis B,104 Pelham - Throgs Neck,6,2.1,2
2005,Acute hepatitis B,105 Crotona - Tremont,0,0,0
2005,Acute hepatitis B,106 High Bridge - Morrisania,8,4,4.3
2005,Acute hepatitis B,107 Hunts Point - Mott Haven,1,0.8,0.8
